0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
皆,大好き,Adobe,Source,Han,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ほ,死ね,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
わけ,で,バランス,いじっ,たら,提出,し,ちまう,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
、,これ,以上,いじり,よう,が,ない,気,が,し,て,き,て,おり,、,こういう,場合,いじら,ない,ほう,が,いい,ん,だろ,う,なっ,て,思っ,た,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とか,デザイン,って,センス,だ,と,思わ,れ,がち,だ,けど,実は,理論,的,な,側面,も,つよく,て,、,そこ,が,分かる,と,面白,さ,が,発生,する,ので,そういう,話,とか,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
、,イラストレーター,で,Tab,キー,で,ウィンドウ,表示,非,表示,を,切り替え,られる,の,を,今,初めて,知り,まし,た,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
棟,の,おっきい,ディスプレイ,(,入力,端子,は,VGA,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カン,ファ,に関して,は,学校,の,設備,を,使う,ので,会場,代,は,かから,ない,という,の,が,あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ロゴ,仕上げる,か,あ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カン,ファ,に,来る,オタク,は,懇親,会,の,後,に,ラーメン,二,郎,に,行こ,う,な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
枠,に,申し込む,人,に,なっ,た,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なんか,適当,に,話す,こと,考える,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
って,書い,て,あっ,た,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
は,今回,ない,ん,だ,っけ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こと,は,ない,けど,、,ひねれ,ば,なんか,ある,でしょ,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
枠,入れよ,う,か,なあ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
系,により,がち,だ,けど,僕,は,カン,ファ,で,演劇,の,お話,を,する,人,に,なっ,てる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
の,学ん,だ,こと,とか,知見,とか,を,気軽,に,LT,する,漢字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俺,参加,申し込み,し,て,も,いい,やつ,だ,よ,ね,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
で,もっ,て,讃岐,が,令,和,最初,の,カン,ファ,と,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
って,言う,の,が,遠方,の,オタク,に,は,厳し,そう,だ,けど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
は,言っ,て,も,いい,ん,だろ,う,か,(,行く,が,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
来る,の,はっ,や,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
の,ロゴ,を,作っ,て,い,ます,、,よろしく,お願い,し,ます,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辞め,て,も,定期,的,に,脚本,書い,て,演劇,同好,会,に,は,貢献,し,て,いく,所存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
に,先輩,に,会い,たい,機運,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
部屋,の,葬儀,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
って,ts,も,書ける,の,か,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
痛い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
